date,concept,Probability of appearance in a single IT job posting
2022-09-01,artificial intelligence,0.021902996758485
2022-10-01,artificial intelligence,0.020596098911888
2022-11-01,artificial intelligence,0.0196390193961974
2022-12-01,artificial intelligence,0.019772763868321
2023-01-01,artificial intelligence,0.0200418738506796
2023-02-01,artificial intelligence,0.020239313457471
2023-03-01,artificial intelligence,0.0200677453502687
2018-01-01,sql,0.109863501148544
2018-02-01,sql,0.108954665335872
2018-03-01,sql,0.110601147333551
2018-04-01,sql,0.109859323934186
2018-05-01,sql,0.10947306882336
2018-06-01,sql,0.108146495043547
2018-07-01,sql,0.108697415238522
2018-08-01,sql,0.10861929611437
2018-09-01,sql,0.109128131162238
2018-10-01,sql,0.111283683217851
2018-11-01,sql,0.111526141935868
2018-12-01,sql,0.111494960168671
2019-01-01,sql,0.111464278359012
2019-02-01,sql,0.111080121700099
2019-03-01,sql,0.110852581580245
2019-04-01,sql,0.109979514170371
2019-05-01,sql,0.110034027100377
2019-06-01,sql,0.111016050652429
2019-07-01,sql,0.113163773285701
2019-08-01,sql,0.114854529654554
2019-09-01,sql,0.114733751599725
2019-10-01,sql,0.116391056543315
2019-11-01,sql,0.116130834424885
2019-12-01,sql,0.116086754335301
2020-01-01,sql,0.116524228753491
2020-02-01,sql,0.11769075897842
2020-03-01,sql,0.11692021345099
2020-04-01,sql,0.116346276767585
2020-05-01,sql,0.115851153932418
2020-06-01,sql,0.114318581064767
2020-07-01,sql,0.113056655527101
2020-08-01,sql,0.112237099261887
2020-09-01,sql,0.113602824388752
2020-10-01,sql,0.112899066110702
2020-11-01,sql,0.114164518157772
2020-12-01,sql,0.1159916127624
2021-01-01,sql,0.116068488860895
2021-02-01,sql,0.117811926008599
2021-03-01,sql,0.11809219922478
2021-04-01,sql,0.119766531774511
2021-05-01,sql,0.121803761920404
2021-06-01,sql,0.123203064815913
2021-07-01,sql,0.122836050506525
2021-08-01,sql,0.122736745808006
2021-09-01,sql,0.121375561566241
2021-10-01,sql,0.121485490325378
2021-11-01,sql,0.121155470783872
2021-12-01,sql,0.121513152503109
2022-01-01,sql,0.121183132961602
2022-02-01,sql,0.12039490976201
2022-03-01,sql,0.116617021139385
2022-04-01,sql,0.116450708161884
2022-05-01,sql,0.116120943067883
2022-06-01,sql,0.115745401133682
2022-07-01,sql,0.115104621546252
2022-08-01,sql,0.115479201075588
2022-09-01,sql,0.116004529673744
2022-10-01,sql,0.117642912455761
2022-11-01,sql,0.118316372600737
2022-12-01,sql,0.121261782995991
2023-01-01,sql,0.120867519479946
2023-02-01,sql,0.11950381816713
2023-03-01,sql,0.119173798625623
2018-01-01,python (programming language),0.0413500278120046
2018-02-01,python (programming language),0.0413958162912829
2018-03-01,python (programming language),0.0428679827128631
2018-04-01,python (programming language),0.0434434238730562
2018-05-01,python (programming language),0.0440382518256195
2018-06-01,python (programming language),0.0443175382262176
2018-07-01,python (programming language),0.0456129055574653
2018-08-01,python (programming language),0.0456379537004924
2018-09-01,python (programming language),0.0460204059619554
2018-10-01,python (programming language),0.0478932389066316
2018-11-01,python (programming language),0.049696893318796
2018-12-01,python (programming language),0.0499248704903488
2019-01-01,python (programming language),0.0504279663706975
2019-02-01,python (programming language),0.0513185000121754
2019-03-01,python (programming language),0.052380458878889
2019-04-01,python (programming language),0.0526584182700162
2019-05-01,python (programming language),0.0538783916457994
2019-06-01,python (programming language),0.0554302036588332
2019-07-01,python (programming language),0.0569467297513051
2019-08-01,python (programming language),0.0583282027482071
2019-09-01,python (programming language),0.0596734563240172
2019-10-01,python (programming language),0.0610809158660969
2019-11-01,python (programming language),0.0618945016996155
2019-12-01,python (programming language),0.0622390042027138
2020-01-01,python (programming language),0.0645266799195428
2020-02-01,python (programming language),0.0652213898551286
2020-03-01,python (programming language),0.0666060672693737
2020-04-01,python (programming language),0.06920271125635
2020-05-01,python (programming language),0.0720640974774005
2020-06-01,python (programming language),0.0722703950696075
2020-07-01,python (programming language),0.0723151169420398
2020-08-01,python (programming language),0.0740851986978374
2020-09-01,python (programming language),0.0762183210685461
2020-10-01,python (programming language),0.076862006551938
2020-11-01,python (programming language),0.0777248255409273
2020-12-01,python (programming language),0.0793911508195067
2021-01-01,python (programming language),0.0808873585786946
2021-02-01,python (programming language),0.083152901538906
2021-03-01,python (programming language),0.0838768913228873
2021-04-01,python (programming language),0.0852108909657458
2021-05-01,python (programming language),0.0869658918281204
2021-06-01,python (programming language),0.0879309846924988
2021-07-01,python (programming language),0.0884789112653674
2021-08-01,python (programming language),0.0895444602317536
2021-09-01,python (programming language),0.0884860056783781
2021-10-01,python (programming language),0.0866248297949413
2021-11-01,python (programming language),0.0843698870779784
2021-12-01,python (programming language),0.0847325452800804
2022-01-01,python (programming language),0.0830237491474605
2022-02-01,python (programming language),0.0829645442161488
2022-03-01,python (programming language),0.0836718404534481
2022-04-01,python (programming language),0.0844985368759851
2022-05-01,python (programming language),0.083391006892141
2022-06-01,python (programming language),0.0825174920199966
2022-07-01,python (programming language),0.0828212931553758
2022-08-01,python (programming language),0.0838244825670024
2022-09-01,python (programming language),0.0858265220077173
2022-10-01,python (programming language),0.0862922497805509
2022-11-01,python (programming language),0.0892324352455987
2022-12-01,python (programming language),0.0895950934477007
2023-01-01,python (programming language),0.0856361093046742
2023-02-01,python (programming language),0.0823242613371573
2023-03-01,python (programming language),0.0816315024325552
2018-01-01,deep learning,0.00119222457019479
2018-02-01,deep learning,0.00125046837528839
2018-03-01,deep learning,0.00128516991275137
2018-04-01,deep learning,0.00131044847469383
2018-05-01,deep learning,0.0014134265433365
2018-06-01,deep learning,0.00139114748348123
2018-07-01,deep learning,0.00145696058443031
2018-08-01,deep learning,0.00144741659118618
2018-09-01,deep learning,0.00155506712888722
2018-10-01,deep learning,0.00161142686398579
2018-11-01,deep learning,0.00168604863096448
2018-12-01,deep learning,0.00178260317749871
2019-01-01,deep learning,0.00184747171153501
2019-02-01,deep learning,0.00194222866887714
2019-03-01,deep learning,0.0019391605313111
2019-04-01,deep learning,0.00193706777645201
2019-05-01,deep learning,0.00196157426410101
2019-06-01,deep learning,0.00199032668910549
2019-07-01,deep learning,0.00197769196922593
2019-08-01,deep learning,0.00201876461846909
2019-09-01,deep learning,0.00203193415787725
2019-10-01,deep learning,0.00206088885413119
2019-11-01,deep learning,0.00211108097290593
2019-12-01,deep learning,0.00220436361997192
2020-01-01,deep learning,0.00216211974937273
2020-02-01,deep learning,0.00221239773491724
2020-03-01,deep learning,0.00224129532314858
2020-04-01,deep learning,0.0023324542635695
2020-05-01,deep learning,0.00238974704297453
2020-06-01,deep learning,0.00244831661943847
2020-07-01,deep learning,0.00252692330535688
2020-08-01,deep learning,0.00258705995727039
2020-09-01,deep learning,0.00267362420323246
2020-10-01,deep learning,0.00264686924269571
2020-11-01,deep learning,0.0026707067606065
2020-12-01,deep learning,0.00272413582261003
2021-01-01,deep learning,0.00274389687885325
2021-02-01,deep learning,0.00260114987078364
2021-03-01,deep learning,0.00244975941557939
2021-04-01,deep learning,0.00239768093500898
2021-05-01,deep learning,0.00239424711097757
2021-06-01,deep learning,0.0024147206578839
2021-07-01,deep learning,0.00240422505221326
2021-08-01,deep learning,0.00242056392550549
2021-09-01,deep learning,0.00241118403685385
2021-10-01,deep learning,0.00239528116787896
2021-11-01,deep learning,0.00232683731149659
2021-12-01,deep learning,0.00234659836773981
2022-01-01,deep learning,0.00236635942398303
2022-02-01,deep learning,0.0023423667187089
2022-03-01,deep learning,0.00245273742127357
2022-04-01,deep learning,0.00244209257776468
2022-05-01,deep learning,0.00239736567673639
2022-06-01,deep learning,0.00231059158802796
2022-07-01,deep learning,0.00231637532250994
2022-08-01,deep learning,0.00231938793036642
2022-09-01,deep learning,0.00232403679915169
2022-10-01,deep learning,0.00219602684129611
2022-11-01,deep learning,0.00218464348614203
2022-12-01,deep learning,0.00220440454238525
2023-01-01,deep learning,0.0021924260405875
2023-02-01,deep learning,0.00221218709683073
2023-03-01,deep learning,0.00219628422785584
2018-01-01,natural language processing,0.00120680765856312
2018-02-01,natural language processing,0.00116864064790367
2018-03-01,natural language processing,0.00114147991053451
2018-04-01,natural language processing,0.00113648772583881
2018-05-01,natural language processing,0.00113953255716326
2018-06-01,natural language processing,0.0010884049832285
2018-07-01,natural language processing,0.00107586641599902
2018-08-01,natural language processing,0.00104107150634347
2018-09-01,natural language processing,0.00105556428191114
2018-10-01,natural language processing,0.00108528781527578
2018-11-01,natural language processing,0.00114026246001329
2018-12-01,natural language processing,0.00118485670165949
2019-01-01,natural language processing,0.00118428375883767
2019-02-01,natural language processing,0.00122663276422113
2019-03-01,natural language processing,0.0012063072481362
2019-04-01,natural language processing,0.00121265120609456
2019-05-01,natural language processing,0.00118280877524451
2019-06-01,natural language processing,0.0012130798134457
2019-07-01,natural language processing,0.00124821124612029
2019-08-01,natural language processing,0.00131346835059883
2019-09-01,natural language processing,0.00136519437944014
2019-10-01,natural language processing,0.00138719864142364
2019-11-01,natural language processing,0.00142157809818335
2019-12-01,natural language processing,0.00146062184333241
2020-01-01,natural language processing,0.00147557900117465
2020-02-01,natural language processing,0.00141970635424756
2020-03-01,natural language processing,0.001437895057675
2020-04-01,natural language processing,0.00151394573155308
2020-05-01,natural language processing,0.00159110330475846
2020-06-01,natural language processing,0.00163966227490041
2020-07-01,natural language processing,0.00168062379932954
2020-08-01,natural language processing,0.00174713008442522
2020-09-01,natural language processing,0.00192005762490579
2020-10-01,natural language processing,0.00200634392869278
2020-11-01,natural language processing,0.00197913340749064
2020-12-01,natural language processing,0.00208922640436548
2021-01-01,natural language processing,0.002322160307095
2021-02-01,natural language processing,0.00218407044764247
2021-03-01,natural language processing,0.00198507416339317
2021-04-01,natural language processing,0.0019142000892529
2021-05-01,natural language processing,0.00189904154367814
2021-06-01,natural language processing,0.00187443257486205
2021-07-01,natural language processing,0.00185337317546554
2021-08-01,natural language processing,0.00191546516628248
2021-09-01,natural language processing,0.00182468581570541
2021-10-01,natural language processing,0.00180237878976748
2021-11-01,natural language processing,0.00178007176382954
2021-12-01,natural language processing,0.0018043234775325
2022-01-01,natural language processing,0.0017339743817918
2022-02-01,natural language processing,0.00174219545377089
2022-03-01,natural language processing,0.00176644716747384
2022-04-01,natural language processing,0.00191248336249198
2022-05-01,natural language processing,0.00189111063177171
2022-06-01,natural language processing,0.00194412015220487
2022-07-01,natural language processing,0.00197748296744978
2022-08-01,natural language processing,0.00211730376865545
2022-09-01,natural language processing,0.00192707999656523
2022-10-01,natural language processing,0.00182216394159246
2022-11-01,natural language processing,0.00184641565529542
2022-12-01,natural language processing,0.00187066736899837
2023-01-01,natural language processing,0.00174841426004142
2023-02-01,natural language processing,0.00181754525050431
2023-03-01,natural language processing,0.00179523822456637
