Year,Organization,# publications
2013,Indian Institute of Technology Madras,327
2014,Indian Institute of Technology Madras,386
2015,Indian Institute of Technology Madras,366
2016,Indian Institute of Technology Madras,429
2017,Indian Institute of Technology Madras,455
2018,Indian Institute of Technology Madras,554
2019,Indian Institute of Technology Madras,640
2020,Indian Institute of Technology Madras,703
2021,Indian Institute of Technology Madras,755
2022,Indian Institute of Technology Madras,712
2023,Indian Institute of Technology Madras,667.4153014156195
2000,Indian Institute of Technology Roorkee,25
2001,Indian Institute of Technology Roorkee,16
2002,Indian Institute of Technology Roorkee,35
2003,Indian Institute of Technology Roorkee,44
2004,Indian Institute of Technology Roorkee,42
2005,Indian Institute of Technology Roorkee,76
2006,Indian Institute of Technology Roorkee,121
2007,Indian Institute of Technology Roorkee,128
2008,Indian Institute of Technology Roorkee,143
2009,Indian Institute of Technology Roorkee,158
2010,Indian Institute of Technology Roorkee,215
2011,Indian Institute of Technology Roorkee,259
2012,Indian Institute of Technology Roorkee,317
2013,Indian Institute of Technology Roorkee,305
2014,Indian Institute of Technology Roorkee,389
2015,Indian Institute of Technology Roorkee,454
2016,Indian Institute of Technology Roorkee,474
2017,Indian Institute of Technology Roorkee,508
2018,Indian Institute of Technology Roorkee,587
2019,Indian Institute of Technology Roorkee,517
2020,Indian Institute of Technology Roorkee,559
2021,Indian Institute of Technology Roorkee,563
2022,Indian Institute of Technology Roorkee,704
2023,Indian Institute of Technology Roorkee,714.789247653889
2000,Jadavpur University,14
2001,Jadavpur University,29
2002,Jadavpur University,64
2003,Jadavpur University,38
2004,Jadavpur University,56
2005,Jadavpur University,79
2006,Jadavpur University,102
2007,Jadavpur University,110
2008,Jadavpur University,201
2009,Jadavpur University,249
2010,Jadavpur University,286
2011,Jadavpur University,369
2012,Jadavpur University,438
2013,Jadavpur University,435
2014,Jadavpur University,426
2015,Jadavpur University,489
2016,Jadavpur University,463
2017,Jadavpur University,511
2018,Jadavpur University,506
2019,Jadavpur University,449
2020,Jadavpur University,590
2021,Jadavpur University,555
2022,Jadavpur University,529
2023,Jadavpur University,490.4596787020837
,,
2003,Vellore Institute of Technology University,4
2004,Vellore Institute of Technology University,4
2005,Vellore Institute of Technology University,10
2006,Vellore Institute of Technology University,10
2007,Vellore Institute of Technology University,15
2008,Vellore Institute of Technology University,28
2009,Vellore Institute of Technology University,66
2010,Vellore Institute of Technology University,69
2011,Vellore Institute of Technology University,100
2012,Vellore Institute of Technology University,137
2013,Vellore Institute of Technology University,239
2014,Vellore Institute of Technology University,338
2015,Vellore Institute of Technology University,444
2016,Vellore Institute of Technology University,585
2017,Vellore Institute of Technology University,965
2018,Vellore Institute of Technology University,1000
2019,Vellore Institute of Technology University,1027
2020,Vellore Institute of Technology University,1286
2021,Vellore Institute of Technology University,1552
2022,Vellore Institute of Technology University,1869
2023,Vellore Institute of Technology University,2357.5505010338798
