Year,Country,% Year-over-year change of AI talent concentration
2017,IN,0.2962962962962963
2018,IN,0.2761904761904762
2019,IN,0.28358208955223874
2020,IN,0.34593023255813954
2021,IN,0.3995680345572355
2022,IN,0.47685185185185186
